stream_path,line_id,speech_ratio,keep_spans,dropped
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s03300/wav/english/windows/sq_cs02_s03300_voice_track.english.core.stream,sq_cs02_s03300#track0,0.5532,20.083:27.01;60.887:85.802;94.248:117.983;120.911:170.059;171.08:189.06;215.445:237.289,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00430/wav/english/windows/sq_cs09_s00430_voice_aml_track.english.core.stream,sq_cs09_s00430#track0,0.9098,0.0:46.956;48.45:75.863;79.348:109.14;110.01:140.342;141.38:167.173;167.773:193.279;198.468:226.658;227.73:249.912,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00850/wav/english/windows/sq_cs02_s00850_voice_track.english.core.stream,sq_cs02_s00850#track0,0.5004,11.797:27.955,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00260/c202/wav/english/windows/sq_cs71_s00260_c202_voice_track.english.core.stream,sq_cs71_s00260_c202#track0,0.2588,7.511:11.147,0
ds/sounds/wwise_cinematics_sound_resource/cs50/sq_cs50_s01010/wav/english/windows/sq_cs50_s01010_voice_dhm_track.english.core.stream,sq_cs50_s01010#track0,0.4197,2.921:11.181,0
ds/sounds/wwise_cinematics_sound_resource/cs50/sq_cs50_s01010/wav/english/windows/sq_cs50_s01010_voice_sam_track.english.core.stream,sq_cs50_s01010#track1,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c203/wav/english/windows/sq_cs71_s00600_c203_voice_track.english.core.stream,sq_cs71_s00600_c203#track0,0.1349,,1
ds/sounds/wwise_cinematics_sound_resource/cs53/sq_cs53_s00400/wav/english/windows/sq_cs53_s00400_voice_track.english.core.stream,sq_cs53_s00400#track0,0.7071,26.124:56.659;57.765:87.861;89.507:119.485;122.936:151.648;152.754:177.552,0
ds/sounds/wwise_cinematics_sound_resource/cs53/sq_cs53_s00410/wav/english/windows/sq_cs53_s00410_voice_track.english.core.stream,sq_cs53_s00410#track0,0.7533,3.039:31.752;34.747:63.088,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00300/wav/english/windows/sq_cs04_s00300_voice_track.english.core.stream,sq_cs04_s00300#track0,0.0948,23.846:33.844;59.638:61.789,0
ds/sounds/wwise_cinematics_sound_resource/cs50/sq_cs50_s02100/wav/english/windows/sq_cs50_s02100_voice_track.english.core.stream,sq_cs50_s02100#track0,0.472,4.811:24.867,0
ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s00350/wav/english/windows/sq_cs06_s00350_voice_track.english.core.stream,sq_cs06_s00350#track0,0.8865,2.853:49.639;50.441:76.285;77.272:128.023;131.897:159.327;160.415:179.543,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s03600/wav/english/windows/sq_cs02_s03600_voice_track.english.core.stream,sq_cs02_s03600#track0,0.7456,12.472:70.648;74.049:95.691,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00500/wav/english/windows/sq_cs07_s00500_voice_track.english.core.stream,sq_cs07_s00500#track0,0.7921,1.723:27.972;32.115:61.485;62.135:88.823;100.543:130.183;131.053:157.707;165.005:188.757;195.667:226.354;227.223:237.542,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01550/wav/english/windows/sq_cs04_s01550_voice_track.english.core.stream,sq_cs04_s01550#track0,0.6593,5.908:34.907;43.387:69.67,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s01050/wav/english/windows/sq_cs08_s01050_voice_track.english.core.stream,sq_cs08_s01050#track0,0.8287,27.98:55.528;56.398:105.698;122.497:152.037;154.914:272.625;274.203:332.008;332.642:360.51;361.785:389.67;390.59:415.945;420.324:447.636;460.588:489.823;496.43:524.907;525.911:610.783;611.366:641.158;642.737:663.231;666.53:686.08,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00300/wav/english/windows/sq_cs07_s00300_voice_track.english.core.stream,sq_cs07_s00300#track0,0.648,0.339:25.069,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00211/wav/english/windows/sq_cs77_s00211_voice_track.english.core.stream,sq_cs77_s00211#track0,0.4598,0.71:12.919,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s03700/wav/english/windows/sq_cs02_s03700_voice_track.english.core.stream,sq_cs02_s03700#track0,0.6457,7.848:17.712;56.904:83.136;85.828:115.89;118.025:147.126;148.974:173.417;174.624:200.974;205.168:206.897,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00950/wav/english/windows/sq_cs04_s00950_voice_track.english.core.stream,sq_cs04_s00950#track0,0.637,0.558:31.161;31.878:59.764,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00800/wav/english/windows/sq_cs07_s00800_voice_track.english.core.stream,sq_cs07_s00800#track0,0.7111,22.226:49.015;64.464:117.392;118.903:146.788;147.337:171.493,0
